,ReportDt,Unit,Power,DocketNum
173,9/19/2023 12:00:00 AM,Summer,100,05000395
174,9/19/2023 12:00:00 AM,Surry 1,100,05000280
175,9/19/2023 12:00:00 AM,Surry 2,100,05000281
176,9/19/2023 12:00:00 AM,Susquehanna 1,100,05000387
177,9/19/2023 12:00:00 AM,Susquehanna 2,100,05000388
178,9/19/2023 12:00:00 AM,Turkey Point 3,100,05000250
179,9/19/2023 12:00:00 AM,Turkey Point 4,100,05000251
180,9/19/2023 12:00:00 AM,Vogtle 1,100,05000424
181,9/19/2023 12:00:00 AM,Vogtle 2,0,05000425
182,9/19/2023 12:00:00 AM,Vogtle 3,100,05200025
183,9/19/2023 12:00:00 AM,Vogtle 4,0,
184,9/19/2023 12:00:00 AM,Waterford 3,100,05000382
185,9/19/2023 12:00:00 AM,Watts Bar 1,100,05000390
186,9/19/2023 12:00:00 AM,Watts Bar 2,100,05000391
187,9/19/2023 12:00:00 AM,Wolf Creek 1,100,05000482
188,9/18/2023 12:00:00 AM,Arkansas Nuclear 1,100,05000313
189,9/18/2023 12:00:00 AM,Arkansas Nuclear 2,85,05000368
190,9/18/2023 12:00:00 AM,Beaver Valley 1,48,05000334
191,9/18/2023 12:00:00 AM,Beaver Valley 2,100,05000412
192,9/18/2023 12:00:00 AM,Braidwood 1,100,05000456
193,9/18/2023 12:00:00 AM,Braidwood 2,100,05000457
194,9/18/2023 12:00:00 AM,Browns Ferry 1,100,05000259
195,9/18/2023 12:00:00 AM,Browns Ferry 2,100,05000260
196,9/18/2023 12:00:00 AM,Browns Ferry 3,100,05000296
197,9/18/2023 12:00:00 AM,Brunswick 1,100,05000325
198,9/18/2023 12:00:00 AM,Brunswick 2,100,05000324
199,9/18/2023 12:00:00 AM,Byron 1,100,05000454
200,9/18/2023 12:00:00 AM,Byron 2,100,05000455
201,9/18/2023 12:00:00 AM,Callaway,100,05000483
202,9/18/2023 12:00:00 AM,Calvert Cliffs 1,100,05000317
203,9/18/2023 12:00:00 AM,Calvert Cliffs 2,100,05000318
204,9/18/2023 12:00:00 AM,Catawba 1,100,05000413
205,9/18/2023 12:00:00 AM,Catawba 2,100,05000414
206,9/18/2023 12:00:00 AM,Clinton,0,05000461
207,9/18/2023 12:00:00 AM,Columbia Generating Station,100,05000397
208,9/18/2023 12:00:00 AM,Comanche Peak 1,100,05000445
209,9/18/2023 12:00:00 AM,Comanche Peak 2,100,05000446
210,9/18/2023 12:00:00 AM,Cooper,100,05000298
211,9/18/2023 12:00:00 AM,D.C. Cook 1,100,05000315
212,9/18/2023 12:00:00 AM,D.C. Cook 2,100,05000316
213,9/18/2023 12:00:00 AM,Davis-Besse,100,05000346
214,9/18/2023 12:00:00 AM,Diablo Canyon 1,100,05000275
215,9/18/2023 12:00:00 AM,Diablo Canyon 2,100,05000323
216,9/18/2023 12:00:00 AM,Dresden 2,95,05000237
217,9/18/2023 12:00:00 AM,Dresden 3,100,05000249
